,block_duration,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
78,4568.0,smaller_sooner,,discount_fixed,71,65.0,137.0,"89,71",994,20.0,4000.0,,277420,,poldrack-single-stim,s172
79,4772.0,smaller_sooner,,discount_fixed,71,49.0,140.0,"89,71",1113,20.0,4000.0,,282194,,poldrack-single-stim,s172
80,7016.0,smaller_sooner,,discount_fixed,71,67.0,103.0,"89,71",787,20.0,4000.0,,289212,,poldrack-single-stim,s172
81,4704.0,smaller_sooner,,discount_fixed,71,69.0,172.0,"89,71",769,20.0,4000.0,,293919,,poldrack-single-stim,s172
82,5180.0,smaller_sooner,,discount_fixed,71,66.0,71.0,"89,71",1029,20.0,4000.0,,299100,,poldrack-single-stim,s172
83,5044.0,smaller_sooner,,discount_fixed,71,71.0,176.0,"89,71",881,20.0,4000.0,,304146,,poldrack-single-stim,s172
84,5316.0,smaller_sooner,,discount_fixed,71,31.0,76.0,"89,71",1000,20.0,4000.0,,309464,,poldrack-single-stim,s172
85,7500.0,,,discount_fixed,-1,,,none,-1,,7500.0,,316966,rest_block,poldrack-single-stim,s172
86,4568.0,larger_later,,discount_fixed,89,43.0,19.0,"89,71",980,20.0,4000.0,,322537,,poldrack-single-stim,s172
87,4636.0,smaller_sooner,,discount_fixed,71,60.0,124.0,"89,71",797,20.0,4000.0,,327175,,poldrack-single-stim,s172
88,4908.0,smaller_sooner,,discount_fixed,71,27.0,142.0,"89,71",910,20.0,4000.0,,332085,,poldrack-single-stim,s172
89,4500.0,smaller_sooner,,discount_fixed,71,25.0,70.0,"89,71",1103,20.0,4000.0,,336587,,poldrack-single-stim,s172
90,4976.0,smaller_sooner,,discount_fixed,71,44.0,92.0,"89,71",918,20.0,4000.0,,341566,,poldrack-single-stim,s172
91,4908.0,larger_later,,discount_fixed,89,41.0,27.0,"89,71",1005,20.0,4000.0,,346476,,poldrack-single-stim,s172
92,4568.0,smaller_sooner,,discount_fixed,71,64.0,89.0,"89,71",1200,20.0,4000.0,,351046,,poldrack-single-stim,s172
93,4500.0,smaller_sooner,,discount_fixed,71,78.0,108.0,"89,71",813,20.0,4000.0,,355548,,poldrack-single-stim,s172
94,6200.0,smaller_sooner,,discount_fixed,71,80.0,145.0,"89,71",713,20.0,4000.0,,361750,,poldrack-single-stim,s172
95,4704.0,smaller_sooner,,discount_fixed,71,41.0,174.0,"89,71",771,20.0,4000.0,,366456,,poldrack-single-stim,s172
96,5044.0,smaller_sooner,,discount_fixed,71,42.0,145.0,"89,71",1078,20.0,4000.0,,371503,,poldrack-single-stim,s172
97,5044.0,smaller_sooner,,discount_fixed,71,36.0,114.0,"89,71",813,20.0,4000.0,,376549,,poldrack-single-stim,s172
98,5180.0,larger_later,,discount_fixed,89,58.0,55.0,"89,71",1141,20.0,4000.0,,381731,,poldrack-single-stim,s172
99,4976.0,larger_later,,discount_fixed,89,81.0,58.0,"89,71",989,20.0,4000.0,,386709,,poldrack-single-stim,s172
100,4772.0,smaller_sooner,,discount_fixed,71,32.0,111.0,"89,71",1004,20.0,4000.0,,391483,,poldrack-single-stim,s172
101,4772.0,smaller_sooner,,discount_fixed,71,25.0,141.0,"89,71",982,20.0,4000.0,,396256,,poldrack-single-stim,s172
102,5180.0,larger_later,,discount_fixed,89,67.0,23.0,"89,71",786,20.0,4000.0,,401438,,poldrack-single-stim,s172
103,5180.0,smaller_sooner,,discount_fixed,71,77.0,161.0,"89,71",734,20.0,4000.0,,406619,,poldrack-single-stim,s172
104,5248.0,smaller_sooner,,discount_fixed,71,55.0,163.0,"89,71",999,20.0,4000.0,,411870,,poldrack-single-stim,s172
105,4568.0,smaller_sooner,,discount_fixed,71,40.0,159.0,"89,71",774,20.0,4000.0,,416440,,poldrack-single-stim,s172
106,4500.0,smaller_sooner,,discount_fixed,71,76.0,161.0,"89,71",890,20.0,4000.0,,420941,,poldrack-single-stim,s172
107,4908.0,smaller_sooner,,discount_fixed,71,48.0,128.0,"89,71",901,20.0,4000.0,,425852,,poldrack-single-stim,s172
108,4568.0,smaller_sooner,,discount_fixed,71,39.0,95.0,"89,71",814,20.0,4000.0,,430422,,poldrack-single-stim,s172
109,6200.0,smaller_sooner,,discount_fixed,71,83.0,105.0,"89,71",801,20.0,4000.0,,436624,,poldrack-single-stim,s172
110,4908.0,larger_later,,discount_fixed,89,67.0,41.0,"89,71",1010,20.0,4000.0,,441535,,poldrack-single-stim,s172
111,5248.0,smaller_sooner,,discount_fixed,71,56.0,172.0,"89,71",1335,20.0,4000.0,,446784,,poldrack-single-stim,s172
112,5044.0,smaller_sooner,,discount_fixed,71,28.0,123.0,"89,71",843,20.0,4000.0,,451831,,poldrack-single-stim,s172
113,4636.0,smaller_sooner,,discount_fixed,71,50.0,129.0,"89,71",945,20.0,4000.0,,456469,,poldrack-single-stim,s172
114,4704.0,smaller_sooner,,discount_fixed,71,23.0,61.0,"89,71",1117,20.0,4000.0,,461176,,poldrack-single-stim,s172
115,4636.0,smaller_sooner,,discount_fixed,71,79.0,92.0,"89,71",1162,20.0,4000.0,,465813,,poldrack-single-stim,s172
116,4568.0,smaller_sooner,,discount_fixed,71,61.0,141.0,"89,71",863,20.0,4000.0,,470384,,poldrack-single-stim,s172
117,4568.0,larger_later,,discount_fixed,89,43.0,38.0,"89,71",932,20.0,4000.0,,474954,,poldrack-single-stim,s172
118,4908.0,smaller_sooner,,discount_fixed,71,66.0,145.0,"89,71",700,20.0,4000.0,,479864,,poldrack-single-stim,s172
119,4840.0,larger_later,,discount_fixed,89,30.0,23.0,"89,71",787,20.0,4000.0,,484706,,poldrack-single-stim,s172
120,5248.0,smaller_sooner,,discount_fixed,71,32.0,57.0,"89,71",1042,20.0,4000.0,,489956,,poldrack-single-stim,s172
121,4772.0,smaller_sooner,,discount_fixed,71,27.0,91.0,"89,71",1120,20.0,4000.0,,494730,,poldrack-single-stim,s172
122,5996.0,smaller_sooner,,discount_fixed,71,43.0,120.0,"89,71",950,20.0,4000.0,,500729,,poldrack-single-stim,s172
123,5588.0,larger_later,,discount_fixed,89,75.0,60.0,"89,71",918,20.0,4000.0,,506318,,poldrack-single-stim,s172
124,4568.0,smaller_sooner,,discount_fixed,71,34.0,176.0,"89,71",783,20.0,4000.0,,510889,,poldrack-single-stim,s172
125,5112.0,smaller_sooner,,discount_fixed,71,24.0,38.0,"89,71",1213,20.0,4000.0,,516003,,poldrack-single-stim,s172
126,5656.0,larger_later,,discount_fixed,89,82.0,74.0,"89,71",828,20.0,4000.0,,521661,,poldrack-single-stim,s172
127,4568.0,larger_later,,discount_fixed,89,58.0,53.0,"89,71",1121,20.0,4000.0,,526231,,poldrack-single-stim,s172
128,4772.0,larger_later,,discount_fixed,89,54.0,23.0,"89,71",1092,20.0,4000.0,,531006,,poldrack-single-stim,s172
129,5044.0,smaller_sooner,,discount_fixed,71,41.0,55.0,"89,71",1040,20.0,4000.0,,536052,,poldrack-single-stim,s172
130,4840.0,smaller_sooner,,discount_fixed,71,77.0,142.0,"89,71",962,20.0,4000.0,,540894,,poldrack-single-stim,s172
131,5180.0,smaller_sooner,,discount_fixed,71,25.0,108.0,"89,71",819,20.0,4000.0,,546077,,poldrack-single-stim,s172
132,5044.0,smaller_sooner,,discount_fixed,71,33.0,163.0,"89,71",814,20.0,4000.0,,551124,,poldrack-single-stim,s172
133,4976.0,smaller_sooner,,discount_fixed,71,29.0,75.0,"89,71",853,20.0,4000.0,,556102,,poldrack-single-stim,s172
134,4976.0,smaller_sooner,,discount_fixed,71,45.0,157.0,"89,71",805,20.0,4000.0,,561080,,poldrack-single-stim,s172
135,5316.0,smaller_sooner,,discount_fixed,71,31.0,74.0,"89,71",844,20.0,4000.0,,566398,,poldrack-single-stim,s172
136,4500.0,larger_later,,discount_fixed,89,80.0,39.0,"89,71",910,20.0,4000.0,,570901,,poldrack-single-stim,s172
137,5044.0,larger_later,,discount_fixed,89,22.0,21.0,"89,71",1110,20.0,4000.0,,575947,,poldrack-single-stim,s172
138,4704.0,smaller_sooner,,discount_fixed,71,52.0,139.0,"89,71",863,20.0,4000.0,,580653,,poldrack-single-stim,s172
139,4840.0,smaller_sooner,,discount_fixed,71,54.0,126.0,"89,71",923,20.0,4000.0,,585494,,poldrack-single-stim,s172
140,6744.0,smaller_sooner,,discount_fixed,71,23.0,176.0,"89,71",917,20.0,4000.0,,592241,,poldrack-single-stim,s172
141,4500.0,smaller_sooner,,discount_fixed,71,24.0,87.0,"89,71",1259,20.0,4000.0,,596742,,poldrack-single-stim,s172
142,4568.0,smaller_sooner,,discount_fixed,71,36.0,140.0,"89,71",976,20.0,4000.0,,601312,,poldrack-single-stim,s172
143,4704.0,smaller_sooner,,discount_fixed,71,35.0,171.0,"89,71",744,20.0,4000.0,,606019,,poldrack-single-stim,s172
144,4908.0,smaller_sooner,,discount_fixed,71,34.0,43.0,"89,71",1101,20.0,4000.0,,610929,,poldrack-single-stim,s172
