,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_color,stim_word,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
60,congruent,1.0,89.0,test,stroop,89,"89,71,82",426,red,red,,42135,stim,17.0,poldrack-single-stim,s130
61,incongruent,1.0,89.0,test,stroop,89,"89,71,82",507,red,blue,,44410,stim,18.0,poldrack-single-stim,s130
62,congruent,1.0,82.0,test,stroop,82,"89,71,82",766,green,green,,46549,stim,19.0,poldrack-single-stim,s130
63,congruent,1.0,89.0,test,stroop,89,"89,71,82",779,red,red,,49095,stim,20.0,poldrack-single-stim,s130
64,incongruent,1.0,89.0,test,stroop,89,"89,71,82",693,red,blue,,51504,stim,21.0,poldrack-single-stim,s130
65,incongruent,1.0,71.0,test,stroop,71,"89,71,82",736,blue,red,,53506,stim,22.0,poldrack-single-stim,s130
66,incongruent,1.0,82.0,test,stroop,82,"89,71,82",843,green,blue,,55508,stim,23.0,poldrack-single-stim,s130
67,incongruent,1.0,71.0,test,stroop,71,"89,71,82",659,blue,green,,57510,stim,24.0,poldrack-single-stim,s130
68,congruent,1.0,82.0,test,stroop,82,"89,71,82",811,green,green,,60056,stim,25.0,poldrack-single-stim,s130
69,congruent,1.0,89.0,test,stroop,89,"89,71,82",583,red,red,,62194,stim,26.0,poldrack-single-stim,s130
70,congruent,1.0,82.0,test,stroop,82,"89,71,82",836,green,green,,64196,stim,27.0,poldrack-single-stim,s130
71,congruent,1.0,89.0,test,stroop,89,"89,71,82",648,red,red,,66198,stim,28.0,poldrack-single-stim,s130
72,congruent,1.0,71.0,test,stroop,71,"89,71,82",574,blue,blue,,68473,stim,29.0,poldrack-single-stim,s130
73,incongruent,1.0,89.0,test,stroop,89,"89,71,82",917,red,green,,70476,stim,30.0,poldrack-single-stim,s130
74,congruent,1.0,71.0,test,stroop,71,"89,71,82",689,blue,blue,,72478,stim,31.0,poldrack-single-stim,s130
75,incongruent,1.0,89.0,test,stroop,89,"89,71,82",690,red,green,,74616,stim,32.0,poldrack-single-stim,s130
76,incongruent,1.0,89.0,test,stroop,89,"89,71,82",1230,red,green,,76617,stim,33.0,poldrack-single-stim,s130
77,incongruent,1.0,71.0,test,stroop,71,"89,71,82",971,blue,red,,78892,stim,34.0,poldrack-single-stim,s130
78,congruent,1.0,71.0,test,stroop,71,"89,71,82",554,blue,blue,,81031,stim,35.0,poldrack-single-stim,s130
79,incongruent,1.0,89.0,test,stroop,89,"89,71,82",602,red,green,,83440,stim,36.0,poldrack-single-stim,s130
80,congruent,1.0,71.0,test,stroop,71,"89,71,82",622,blue,blue,,85442,stim,37.0,poldrack-single-stim,s130
81,congruent,1.0,82.0,test,stroop,82,"89,71,82",873,green,green,,87444,stim,38.0,poldrack-single-stim,s130
82,incongruent,1.0,71.0,test,stroop,71,"89,71,82",750,blue,green,,90263,stim,39.0,poldrack-single-stim,s130
83,incongruent,1.0,71.0,test,stroop,71,"89,71,82",496,blue,red,,92265,stim,40.0,poldrack-single-stim,s130
84,incongruent,1.0,82.0,test,stroop,82,"89,71,82",916,green,red,,94267,stim,41.0,poldrack-single-stim,s130
85,congruent,1.0,71.0,test,stroop,71,"89,71,82",741,blue,blue,,96405,stim,42.0,poldrack-single-stim,s130
86,congruent,1.0,89.0,test,stroop,89,"89,71,82",507,red,red,,98408,stim,43.0,poldrack-single-stim,s130
87,incongruent,1.0,71.0,test,stroop,71,"89,71,82",779,blue,green,,100411,stim,44.0,poldrack-single-stim,s130
88,congruent,1.0,82.0,test,stroop,82,"89,71,82",768,green,green,,102413,stim,45.0,poldrack-single-stim,s130
89,incongruent,1.0,89.0,test,stroop,89,"89,71,82",729,red,green,,104416,stim,46.0,poldrack-single-stim,s130
90,congruent,1.0,71.0,test,stroop,71,"89,71,82",683,blue,blue,,106417,stim,47.0,poldrack-single-stim,s130
91,incongruent,1.0,82.0,test,stroop,82,"89,71,82",912,green,red,,108419,stim,48.0,poldrack-single-stim,s130
92,congruent,1.0,82.0,test,stroop,82,"89,71,82",575,green,green,,110421,stim,49.0,poldrack-single-stim,s130
93,incongruent,1.0,89.0,test,stroop,89,"89,71,82",625,red,blue,,112696,stim,50.0,poldrack-single-stim,s130
94,incongruent,1.0,71.0,test,stroop,71,"89,71,82",982,blue,red,,114698,stim,51.0,poldrack-single-stim,s130
95,congruent,1.0,89.0,test,stroop,89,"89,71,82",535,red,red,,116837,stim,52.0,poldrack-single-stim,s130
96,congruent,1.0,82.0,test,stroop,82,"89,71,82",691,green,green,,118839,stim,53.0,poldrack-single-stim,s130
97,congruent,1.0,82.0,test,stroop,82,"89,71,82",499,green,green,,120978,stim,54.0,poldrack-single-stim,s130
98,congruent,1.0,82.0,test,stroop,82,"89,71,82",534,green,green,,122980,stim,55.0,poldrack-single-stim,s130
99,congruent,1.0,71.0,test,stroop,71,"89,71,82",649,blue,blue,,124982,stim,56.0,poldrack-single-stim,s130
100,incongruent,1.0,82.0,test,stroop,82,"89,71,82",716,green,blue,,126983,stim,57.0,poldrack-single-stim,s130
101,incongruent,1.0,82.0,test,stroop,82,"89,71,82",639,green,blue,,129258,stim,58.0,poldrack-single-stim,s130
102,incongruent,1.0,82.0,test,stroop,82,"89,71,82",555,green,red,,131260,stim,59.0,poldrack-single-stim,s130
103,incongruent,1.0,89.0,test,stroop,89,"89,71,82",509,red,green,,133398,stim,60.0,poldrack-single-stim,s130
104,congruent,1.0,82.0,test,stroop,82,"89,71,82",1003,green,green,,135808,stim,61.0,poldrack-single-stim,s130
105,incongruent,1.0,89.0,test,stroop,89,"89,71,82",658,red,blue,,138083,stim,62.0,poldrack-single-stim,s130
106,congruent,1.0,89.0,test,stroop,89,"89,71,82",479,red,red,,140764,stim,63.0,poldrack-single-stim,s130
107,congruent,1.0,89.0,test,stroop,89,"89,71,82",546,red,red,,142766,stim,64.0,poldrack-single-stim,s130
108,congruent,1.0,89.0,test,stroop,89,"89,71,82",724,red,red,,145175,stim,65.0,poldrack-single-stim,s130
109,congruent,1.0,71.0,test,stroop,71,"89,71,82",712,blue,blue,,147314,stim,66.0,poldrack-single-stim,s130
110,incongruent,0.0,89.0,test,stroop,71,"89,71,82",608,red,blue,,149996,stim,67.0,poldrack-single-stim,s130
111,incongruent,1.0,71.0,test,stroop,71,"89,71,82",558,blue,green,,152000,stim,68.0,poldrack-single-stim,s130
112,incongruent,1.0,89.0,test,stroop,89,"89,71,82",728,red,blue,,154138,stim,69.0,poldrack-single-stim,s130
113,congruent,1.0,71.0,test,stroop,71,"89,71,82",657,blue,blue,,157092,stim,70.0,poldrack-single-stim,s130
114,incongruent,1.0,71.0,test,stroop,71,"89,71,82",769,blue,red,,159094,stim,71.0,poldrack-single-stim,s130
115,incongruent,1.0,82.0,test,stroop,82,"89,71,82",795,green,blue,,161368,stim,72.0,poldrack-single-stim,s130
116,incongruent,1.0,71.0,test,stroop,71,"89,71,82",1153,blue,green,,163369,stim,73.0,poldrack-single-stim,s130
117,congruent,1.0,71.0,test,stroop,71,"89,71,82",718,blue,blue,,165372,stim,74.0,poldrack-single-stim,s130
118,congruent,1.0,82.0,test,stroop,82,"89,71,82",693,green,green,,167373,stim,75.0,poldrack-single-stim,s130
119,incongruent,1.0,71.0,test,stroop,71,"89,71,82",1223,blue,green,,169375,stim,76.0,poldrack-single-stim,s130
120,congruent,1.0,89.0,test,stroop,89,"89,71,82",618,red,red,,171513,stim,77.0,poldrack-single-stim,s130
121,congruent,1.0,89.0,test,stroop,89,"89,71,82",497,red,red,,173516,stim,78.0,poldrack-single-stim,s130
122,incongruent,1.0,89.0,test,stroop,89,"89,71,82",570,red,blue,,175518,stim,79.0,poldrack-single-stim,s130
123,congruent,1.0,89.0,test,stroop,89,"89,71,82",470,red,red,,177656,stim,80.0,poldrack-single-stim,s130
124,incongruent,1.0,71.0,test,stroop,71,"89,71,82",844,blue,red,,179658,stim,81.0,poldrack-single-stim,s130
125,incongruent,1.0,82.0,test,stroop,82,"89,71,82",1041,green,red,,181660,stim,82.0,poldrack-single-stim,s130
126,incongruent,1.0,82.0,test,stroop,82,"89,71,82",545,green,blue,,183799,stim,83.0,poldrack-single-stim,s130
127,congruent,1.0,71.0,test,stroop,71,"89,71,82",965,blue,blue,,185937,stim,84.0,poldrack-single-stim,s130
128,congruent,1.0,82.0,test,stroop,82,"89,71,82",682,green,green,,188211,stim,85.0,poldrack-single-stim,s130
129,incongruent,1.0,89.0,test,stroop,89,"89,71,82",526,red,green,,190893,stim,86.0,poldrack-single-stim,s130
130,congruent,0.0,71.0,test,stroop,-1,"89,71,82",-1,blue,blue,,192895,stim,87.0,poldrack-single-stim,s130
131,congruent,1.0,82.0,test,stroop,82,"89,71,82",702,green,green,,194897,stim,88.0,poldrack-single-stim,s130
132,incongruent,1.0,82.0,test,stroop,82,"89,71,82",1022,green,red,,197172,stim,89.0,poldrack-single-stim,s130
133,incongruent,1.0,82.0,test,stroop,82,"89,71,82",938,green,red,,199174,stim,90.0,poldrack-single-stim,s130
134,congruent,1.0,89.0,test,stroop,89,"89,71,82",633,red,red,,201176,stim,91.0,poldrack-single-stim,s130
135,incongruent,1.0,82.0,test,stroop,82,"89,71,82",809,green,red,,203178,stim,92.0,poldrack-single-stim,s130
136,incongruent,1.0,71.0,test,stroop,71,"89,71,82",660,blue,green,,205179,stim,93.0,poldrack-single-stim,s130
137,incongruent,1.0,82.0,test,stroop,82,"89,71,82",638,green,blue,,207181,stim,94.0,poldrack-single-stim,s130
138,incongruent,1.0,89.0,test,stroop,89,"89,71,82",591,red,green,,209184,stim,95.0,poldrack-single-stim,s130
