CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
900.0,2136.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",1065.0,#1F45FC,1000.0,8.0,magnitude,switch,,18641,0.0,stim,4.0,poldrack-single-stim,s061
100.0,2136.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",1068.0,#1F45FC,1000.0,2.0,magnitude,stay,,20885,0.0,stim,5.0,poldrack-single-stim,s061
100.0,2000.0,True,89.0,Magnitude,switch,test,twobytwo,,89.0,"89,71",1157.0,orange,1000.0,9.0,magnitude,stay,,22992,0.0,stim,6.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,High-Low,switch,test,twobytwo,,71.0,"89,71",784.0,orange,1000.0,3.0,magnitude,stay,,25900,0.0,stim,7.0,poldrack-single-stim,s061
100.0,2272.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",1031.0,orange,1000.0,8.0,color,switch,,28280,0.0,stim,8.0,poldrack-single-stim,s061
900.0,2408.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",672.0,orange,1000.0,7.0,magnitude,switch,,31596,0.0,stim,9.0,poldrack-single-stim,s061
900.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",556.0,#1F45FC,1000.0,2.0,color,switch,,34503,0.0,stim,10.0,poldrack-single-stim,s061
100.0,2136.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",891.0,orange,1000.0,1.0,color,stay,,36749,0.0,stim,11.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",936.0,#1F45FC,1000.0,2.0,magnitude,switch,,39657,0.0,stim,12.0,poldrack-single-stim,s061
900.0,2408.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",864.0,#1F45FC,1000.0,8.0,color,switch,,42979,0.0,stim,13.0,poldrack-single-stim,s061
100.0,2272.0,True,89.0,Color,switch,test,twobytwo,,89.0,"89,71",1013.0,#1F45FC,1000.0,8.0,color,stay,,45356,0.0,stim,14.0,poldrack-single-stim,s061
100.0,2000.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",1100.0,orange,1000.0,7.0,magnitude,switch,,47463,0.0,stim,15.0,poldrack-single-stim,s061
100.0,2272.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",1123.0,orange,1000.0,3.0,magnitude,stay,,49841,0.0,stim,16.0,poldrack-single-stim,s061
100.0,2000.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",1057.0,orange,1000.0,9.0,color,switch,,51948,0.0,stim,17.0,poldrack-single-stim,s061
900.0,2000.0,False,71.0,High-Low,,test,twobytwo,,89.0,"89,71",820.0,orange,1000.0,3.0,magnitude,switch,,54856,0.0,stim,18.0,poldrack-single-stim,s061
100.0,2272.0,True,89.0,High-Low,stay,test,twobytwo,,89.0,"89,71",1172.0,orange,1000.0,9.0,magnitude,stay,,57240,0.0,stim,19.0,poldrack-single-stim,s061
900.0,2136.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",581.0,#1F45FC,1000.0,2.0,color,switch,,60281,0.0,stim,20.0,poldrack-single-stim,s061
900.0,2000.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",783.0,orange,1000.0,9.0,magnitude,switch,,63188,0.0,stim,21.0,poldrack-single-stim,s061
900.0,2000.0,True,89.0,High-Low,stay,test,twobytwo,,89.0,"89,71",793.0,#1F45FC,1000.0,7.0,magnitude,stay,,66096,0.0,stim,22.0,poldrack-single-stim,s061
100.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",1128.0,#1F45FC,1000.0,7.0,color,switch,,68203,0.0,stim,23.0,poldrack-single-stim,s061
100.0,2000.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",856.0,orange,1000.0,4.0,color,stay,,70310,0.0,stim,24.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,Color,stay,test,twobytwo,,71.0,"89,71",576.0,orange,1000.0,2.0,color,stay,,73218,0.0,stim,25.0,poldrack-single-stim,s061
900.0,2136.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",800.0,orange,1000.0,2.0,magnitude,switch,,76260,0.0,stim,26.0,poldrack-single-stim,s061
100.0,2000.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",814.0,orange,1000.0,8.0,magnitude,stay,,78367,0.0,stim,27.0,poldrack-single-stim,s061
900.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",624.0,#1F45FC,1000.0,4.0,color,switch,,81273,0.0,stim,28.0,poldrack-single-stim,s061
100.0,2136.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",1158.0,orange,1000.0,4.0,color,stay,,83516,0.0,stim,29.0,poldrack-single-stim,s061
100.0,2000.0,True,71.0,Orange-Blue,switch,test,twobytwo,,71.0,"89,71",863.0,orange,1000.0,4.0,color,stay,,85621,0.0,stim,30.0,poldrack-single-stim,s061
900.0,2136.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",719.0,orange,1000.0,4.0,magnitude,switch,,88666,0.0,stim,31.0,poldrack-single-stim,s061
900.0,2680.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",810.0,orange,1000.0,9.0,color,switch,,92253,0.0,stim,32.0,poldrack-single-stim,s061
100.0,2272.0,True,71.0,Color,stay,test,twobytwo,,71.0,"89,71",916.0,orange,1000.0,2.0,color,stay,,94635,0.0,stim,33.0,poldrack-single-stim,s061
900.0,2136.0,True,89.0,Color,stay,test,twobytwo,,89.0,"89,71",469.0,#1F45FC,1000.0,3.0,color,stay,,97677,0.0,stim,34.0,poldrack-single-stim,s061
100.0,2000.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",1038.0,orange,1000.0,3.0,magnitude,switch,,99787,0.0,stim,35.0,poldrack-single-stim,s061
100.0,2136.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",1045.0,orange,1000.0,3.0,color,switch,,102029,0.0,stim,36.0,poldrack-single-stim,s061
900.0,2680.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",941.0,#1F45FC,1000.0,1.0,magnitude,switch,,105617,0.0,stim,37.0,poldrack-single-stim,s061
900.0,2272.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",489.0,#1F45FC,1000.0,4.0,color,switch,,108796,0.0,stim,38.0,poldrack-single-stim,s061
100.0,2000.0,True,71.0,Orange-Blue,switch,test,twobytwo,,71.0,"89,71",801.0,orange,1000.0,6.0,color,stay,,110903,0.0,stim,39.0,poldrack-single-stim,s061
900.0,2000.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",583.0,orange,1000.0,8.0,magnitude,switch,,113811,0.0,stim,40.0,poldrack-single-stim,s061
900.0,2136.0,True,89.0,High-Low,stay,test,twobytwo,,89.0,"89,71",671.0,orange,1000.0,9.0,magnitude,stay,,116854,0.0,stim,41.0,poldrack-single-stim,s061
100.0,2000.0,True,89.0,High-Low,stay,test,twobytwo,,89.0,"89,71",817.0,#1F45FC,1000.0,9.0,magnitude,stay,,118959,0.0,stim,42.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",583.0,#1F45FC,1000.0,4.0,magnitude,stay,,121866,0.0,stim,43.0,poldrack-single-stim,s061
900.0,2000.0,True,89.0,Magnitude,switch,test,twobytwo,,89.0,"89,71",686.0,#1F45FC,1000.0,8.0,magnitude,stay,,124774,0.0,stim,44.0,poldrack-single-stim,s061
100.0,2272.0,False,89.0,Color,,test,twobytwo,,71.0,"89,71",888.0,#1F45FC,1000.0,4.0,color,switch,,127154,0.0,stim,45.0,poldrack-single-stim,s061
100.0,2408.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",1280.0,#1F45FC,1000.0,6.0,magnitude,switch,,129668,0.0,stim,46.0,poldrack-single-stim,s061
900.0,2000.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",697.0,#1F45FC,1000.0,8.0,magnitude,stay,,132574,0.0,stim,47.0,poldrack-single-stim,s061
900.0,2000.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",659.0,#1F45FC,1000.0,8.0,magnitude,stay,,135481,0.0,stim,48.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",620.0,orange,1000.0,3.0,color,switch,,138389,0.0,stim,49.0,poldrack-single-stim,s061
900.0,2272.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",906.0,#1F45FC,1000.0,9.0,magnitude,switch,,141569,0.0,stim,50.0,poldrack-single-stim,s061
900.0,2136.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",900.0,orange,1000.0,2.0,magnitude,stay,,144612,0.0,stim,51.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",608.0,orange,1000.0,7.0,color,switch,,147522,0.0,stim,52.0,poldrack-single-stim,s061
100.0,2544.0,True,89.0,Orange-Blue,switch,test,twobytwo,,89.0,"89,71",1251.0,#1F45FC,1000.0,4.0,color,stay,,150172,0.0,stim,53.0,poldrack-single-stim,s061
100.0,2272.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",1077.0,#1F45FC,1000.0,9.0,magnitude,switch,,152551,0.0,stim,54.0,poldrack-single-stim,s061
900.0,2272.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",698.0,orange,1000.0,1.0,magnitude,stay,,155731,0.0,stim,55.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,High-Low,switch,test,twobytwo,,71.0,"89,71",740.0,orange,1000.0,1.0,magnitude,stay,,158640,0.0,stim,56.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",699.0,orange,1000.0,3.0,magnitude,stay,,161546,0.0,stim,57.0,poldrack-single-stim,s061
100.0,2136.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",856.0,orange,1000.0,7.0,color,switch,,163788,0.0,stim,58.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",970.0,#1F45FC,1000.0,2.0,magnitude,switch,,166697,0.0,stim,59.0,poldrack-single-stim,s061
100.0,2136.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",1053.0,orange,1000.0,2.0,magnitude,stay,,168939,0.0,stim,60.0,poldrack-single-stim,s061
100.0,2272.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",809.0,orange,1000.0,1.0,color,switch,,171316,0.0,stim,61.0,poldrack-single-stim,s061
100.0,2136.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",1367.0,orange,1000.0,6.0,magnitude,switch,,173559,0.0,stim,62.0,poldrack-single-stim,s061
900.0,2272.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",664.0,orange,1000.0,2.0,magnitude,stay,,176740,0.0,stim,63.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",530.0,orange,1000.0,4.0,color,switch,,179648,0.0,stim,64.0,poldrack-single-stim,s061
100.0,2816.0,True,71.0,Orange-Blue,stay,test,twobytwo,,71.0,"89,71",895.0,orange,1000.0,6.0,color,stay,,182571,0.0,stim,65.0,poldrack-single-stim,s061
900.0,2408.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",572.0,orange,1000.0,9.0,color,stay,,185887,0.0,stim,66.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,Color,stay,test,twobytwo,,71.0,"89,71",553.0,orange,1000.0,3.0,color,stay,,188797,0.0,stim,67.0,poldrack-single-stim,s061
100.0,2544.0,True,89.0,Color,stay,test,twobytwo,,89.0,"89,71",749.0,#1F45FC,1000.0,4.0,color,stay,,191449,0.0,stim,68.0,poldrack-single-stim,s061
100.0,2136.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",1011.0,orange,1000.0,3.0,magnitude,switch,,193692,0.0,stim,69.0,poldrack-single-stim,s061
900.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",526.0,#1F45FC,1000.0,3.0,color,switch,,196600,0.0,stim,70.0,poldrack-single-stim,s061
100.0,2000.0,True,89.0,Orange-Blue,stay,test,twobytwo,,89.0,"89,71",1016.0,#1F45FC,1000.0,7.0,color,stay,,198711,0.0,stim,71.0,poldrack-single-stim,s061
100.0,2136.0,True,89.0,Color,switch,test,twobytwo,,89.0,"89,71",864.0,#1F45FC,1000.0,4.0,color,stay,,200953,0.0,stim,72.0,poldrack-single-stim,s061
100.0,2136.0,True,71.0,Color,stay,test,twobytwo,,71.0,"89,71",752.0,orange,1000.0,6.0,color,stay,,203196,0.0,stim,73.0,poldrack-single-stim,s061
900.0,2272.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",714.0,#1F45FC,1000.0,2.0,magnitude,switch,,206375,0.0,stim,74.0,poldrack-single-stim,s061
100.0,3224.0,True,89.0,Magnitude,switch,test,twobytwo,,89.0,"89,71",893.0,#1F45FC,1000.0,8.0,magnitude,stay,,209707,0.0,stim,75.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,High-Low,switch,test,twobytwo,,71.0,"89,71",791.0,#1F45FC,1000.0,1.0,magnitude,stay,,212615,0.0,stim,76.0,poldrack-single-stim,s061
100.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",891.0,#1F45FC,1000.0,8.0,color,switch,,214722,0.0,stim,77.0,poldrack-single-stim,s061
100.0,2272.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",1196.0,orange,1000.0,6.0,magnitude,switch,,217099,0.0,stim,78.0,poldrack-single-stim,s061
900.0,2136.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",528.0,orange,1000.0,1.0,color,switch,,220141,0.0,stim,79.0,poldrack-single-stim,s061
100.0,2000.0,True,89.0,Color,stay,test,twobytwo,,89.0,"89,71",923.0,#1F45FC,1000.0,8.0,color,stay,,235762,0.0,stim,0.0,poldrack-single-stim,s061
100.0,2000.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",1246.0,orange,1000.0,7.0,magnitude,switch,,237869,0.0,stim,1.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",545.0,orange,1000.0,3.0,color,switch,,240778,0.0,stim,2.0,poldrack-single-stim,s061
100.0,2680.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",1007.0,orange,1000.0,2.0,magnitude,switch,,243564,0.0,stim,3.0,poldrack-single-stim,s061
900.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",470.0,#1F45FC,1000.0,8.0,color,switch,,246472,0.0,stim,4.0,poldrack-single-stim,s061
100.0,2272.0,True,89.0,Orange-Blue,stay,test,twobytwo,,89.0,"89,71",806.0,#1F45FC,1000.0,2.0,color,stay,,248852,0.0,stim,5.0,poldrack-single-stim,s061
100.0,2000.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",740.0,orange,1000.0,9.0,color,stay,,250958,0.0,stim,6.0,poldrack-single-stim,s061
900.0,2272.0,True,71.0,Orange-Blue,switch,test,twobytwo,,71.0,"89,71",510.0,orange,1000.0,3.0,color,stay,,254136,0.0,stim,7.0,poldrack-single-stim,s061
100.0,2952.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",1128.0,orange,1000.0,8.0,magnitude,switch,,257196,0.0,stim,8.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",516.0,orange,1000.0,7.0,color,switch,,260104,0.0,stim,9.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",1191.0,#1F45FC,1000.0,2.0,magnitude,switch,,263012,0.0,stim,10.0,poldrack-single-stim,s061
100.0,2000.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",988.0,orange,1000.0,1.0,magnitude,stay,,265128,0.0,stim,11.0,poldrack-single-stim,s061
900.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",775.0,#1F45FC,1000.0,2.0,color,switch,,268036,0.0,stim,12.0,poldrack-single-stim,s061
900.0,2136.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",1108.0,#1F45FC,1000.0,8.0,magnitude,switch,,271079,0.0,stim,13.0,poldrack-single-stim,s061
100.0,2000.0,True,89.0,Magnitude,switch,test,twobytwo,,89.0,"89,71",859.0,#1F45FC,1000.0,8.0,magnitude,stay,,273184,0.0,stim,14.0,poldrack-single-stim,s061
100.0,2000.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",752.0,orange,1000.0,7.0,color,switch,,275292,0.0,stim,15.0,poldrack-single-stim,s061
100.0,2000.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",972.0,orange,1000.0,3.0,color,stay,,277399,0.0,stim,16.0,poldrack-single-stim,s061
100.0,2272.0,False,89.0,Magnitude,,test,twobytwo,,71.0,"89,71",904.0,orange,1000.0,9.0,magnitude,switch,,279778,0.0,stim,17.0,poldrack-single-stim,s061
900.0,2136.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",1145.0,orange,1000.0,3.0,color,switch,,282821,0.0,stim,18.0,poldrack-single-stim,s061
100.0,2000.0,True,71.0,Orange-Blue,stay,test,twobytwo,,71.0,"89,71",914.0,orange,1000.0,9.0,color,stay,,284928,0.0,stim,19.0,poldrack-single-stim,s061
900.0,2136.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",866.0,#1F45FC,1000.0,2.0,magnitude,switch,,287972,0.0,stim,20.0,poldrack-single-stim,s061
900.0,2816.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",735.0,orange,1000.0,9.0,color,switch,,291695,0.0,stim,21.0,poldrack-single-stim,s061
900.0,2408.0,True,89.0,Color,stay,test,twobytwo,,89.0,"89,71",664.0,#1F45FC,1000.0,7.0,color,stay,,295010,0.0,stim,22.0,poldrack-single-stim,s061
100.0,2000.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",1255.0,#1F45FC,1000.0,7.0,magnitude,switch,,297120,0.0,stim,23.0,poldrack-single-stim,s061
100.0,2136.0,True,71.0,High-Low,switch,test,twobytwo,,71.0,"89,71",1002.0,orange,1000.0,4.0,magnitude,stay,,299363,0.0,stim,24.0,poldrack-single-stim,s061
900.0,2136.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",619.0,orange,1000.0,2.0,magnitude,stay,,302408,0.0,stim,25.0,poldrack-single-stim,s061
900.0,2136.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",507.0,orange,1000.0,2.0,color,switch,,305450,0.0,stim,26.0,poldrack-single-stim,s061
100.0,2544.0,True,71.0,Color,stay,test,twobytwo,,71.0,"89,71",851.0,orange,1000.0,8.0,color,stay,,308100,0.0,stim,27.0,poldrack-single-stim,s061
900.0,2136.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",734.0,#1F45FC,1000.0,4.0,magnitude,switch,,311142,0.0,stim,28.0,poldrack-single-stim,s061
100.0,2000.0,True,71.0,High-Low,switch,test,twobytwo,,71.0,"89,71",957.0,orange,1000.0,4.0,magnitude,stay,,313249,0.0,stim,29.0,poldrack-single-stim,s061
100.0,2000.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",953.0,orange,1000.0,4.0,magnitude,stay,,315356,0.0,stim,30.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",460.0,orange,1000.0,4.0,color,switch,,318266,0.0,stim,31.0,poldrack-single-stim,s061
900.0,2000.0,False,89.0,Magnitude,,test,twobytwo,,71.0,"89,71",771.0,orange,1000.0,9.0,magnitude,switch,,321174,0.0,stim,32.0,poldrack-single-stim,s061
100.0,2136.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",1387.0,orange,1000.0,2.0,magnitude,stay,,323416,0.0,stim,33.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",1239.0,#1F45FC,1000.0,3.0,magnitude,stay,,326324,0.0,stim,34.0,poldrack-single-stim,s061
100.0,2000.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",839.0,orange,1000.0,3.0,color,switch,,328431,0.0,stim,35.0,poldrack-single-stim,s061
100.0,2000.0,False,71.0,Magnitude,,test,twobytwo,,89.0,"89,71",1197.0,orange,1000.0,3.0,magnitude,switch,,330538,0.0,stim,36.0,poldrack-single-stim,s061
900.0,2136.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",806.0,#1F45FC,1000.0,1.0,color,switch,,333581,0.0,stim,37.0,poldrack-single-stim,s061
900.0,2136.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",1273.0,#1F45FC,1000.0,4.0,magnitude,switch,,336624,0.0,stim,38.0,poldrack-single-stim,s061
100.0,2136.0,False,89.0,High-Low,switch,test,twobytwo,,71.0,"89,71",2054.0,orange,1000.0,6.0,magnitude,stay,,338866,0.0,stim,39.0,poldrack-single-stim,s061
900.0,2136.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",946.0,orange,1000.0,8.0,color,switch,,341910,0.0,stim,40.0,poldrack-single-stim,s061
900.0,2680.0,True,71.0,Color,stay,test,twobytwo,,71.0,"89,71",493.0,orange,1000.0,9.0,color,stay,,345497,0.0,stim,41.0,poldrack-single-stim,s061
100.0,2544.0,True,89.0,Color,stay,test,twobytwo,,89.0,"89,71",1008.0,#1F45FC,1000.0,9.0,color,stay,,348152,0.0,stim,42.0,poldrack-single-stim,s061
900.0,2272.0,True,89.0,Color,stay,test,twobytwo,,89.0,"89,71",689.0,#1F45FC,1000.0,4.0,color,stay,,351332,0.0,stim,43.0,poldrack-single-stim,s061
900.0,2272.0,True,89.0,Orange-Blue,switch,test,twobytwo,,89.0,"89,71",562.0,#1F45FC,1000.0,8.0,color,stay,,354510,0.0,stim,44.0,poldrack-single-stim,s061
100.0,2408.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",893.0,#1F45FC,1000.0,4.0,magnitude,switch,,357024,0.0,stim,45.0,poldrack-single-stim,s061
100.0,2136.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",1040.0,#1F45FC,1000.0,6.0,color,switch,,359269,0.0,stim,46.0,poldrack-single-stim,s061
900.0,2272.0,True,89.0,Color,stay,test,twobytwo,,89.0,"89,71",615.0,#1F45FC,1000.0,8.0,color,stay,,362450,0.0,stim,47.0,poldrack-single-stim,s061
900.0,2000.0,True,89.0,Color,stay,test,twobytwo,,89.0,"89,71",632.0,#1F45FC,1000.0,8.0,color,stay,,365358,0.0,stim,48.0,poldrack-single-stim,s061
900.0,2136.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",754.0,orange,1000.0,3.0,magnitude,switch,,368400,0.0,stim,49.0,poldrack-single-stim,s061
900.0,2272.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",682.0,#1F45FC,1000.0,9.0,color,switch,,371579,0.0,stim,50.0,poldrack-single-stim,s061
